종목코드,종목명,적용시작일,WICS대,WICS중,WICS소,KRX섹터,산업분류
388720,유일로보틱스,2026-07-01,산업재,자본재,기계,,특수 목적용 기계 제조업
388790,라이콤,2026-07-01,IT,기술하드웨어와장비,통신장비,,통신 및 방송 장비 제조업
388870,파로스아이바이오,2026-07-01,건강관리,제약과생물공학,생물공학,,자연과학 및 공학 연구개발업
389020,자람테크놀로지,2026-07-01,IT,기술하드웨어와장비,통신장비,,반도체 제조업
389030,지니너스,2026-07-01,건강관리,제약과생물공학,생물공학,,자연과학 및 공학 연구개발업
389140,포바이포,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트,,"영화, 비디오물, 방송프로그램 제작 및 배급업"
389260,대명에너지,2026-07-01,에너지,에너지,에너지장비및서비스,KRX 유틸리티,건물 건설업
389470,인벤티지랩,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,자연과학 및 공학 연구개발업
389500,에스비비테크,2026-07-01,산업재,자본재,기계,,일반 목적용 기계 제조업
389650,넥스트바이오메디컬,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
389680,유디엠텍,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
391710,코닉오토메이션,2026-07-01,IT,소프트웨어와서비스,IT서비스,,특수 목적용 기계 제조업
393210,토마토시스템,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
393890,더블유씨피,2026-07-01,IT,전자와 전기제품,전기제품,,일차전지 및 이차전지 제조업
393970,대진첨단소재,2026-07-01,IT,전자와 전기제품,전기제품,,플라스틱제품 제조업
394280,오픈엣지테크놀로지,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,소프트웨어 개발 및 공급업
394420,리센스메디컬,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
394800,쓰리빌리언,2026-07-01,건강관리,건강관리장비와서비스,건강관리기술,,자연과학 및 공학 연구개발업
395400,SK리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
396270,넥스트칩,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,반도체 제조업
396300,세아메카닉스,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,기타 금속 가공제품 제조업
396470,워트,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,특수 목적용 기계 제조업
396690,미래에셋글로벌리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
397030,에이프릴바이오,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,자연과학 및 공학 연구개발업
397810,애드포러스,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,광고,,광고업
398120,에스지헬스케어,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
399720,가온칩스,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,KRX 반도체,반도체 제조업
400760,NH올원리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
402030,코난테크놀로지,2026-07-01,IT,소프트웨어와서비스,소프트웨어,,소프트웨어 개발 및 공급업
402340,SK스퀘어,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,기타 금융업
402490,그린리소스,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,반도체 제조업
403490,우듬지팜,2026-07-01,필수소비재,"식품,음료,담배",식품,,"과실, 채소 가공 및 저장 처리업"
403550,쏘카,2026-07-01,산업재,운송,도로와철도운송,,운송장비 임대업
403850,더핑크퐁컴퍼니,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트,,"영화, 비디오물, 방송프로그램 제작 및 배급업"
403870,HPSP,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,KRX 반도체,특수 목적용 기계 제조업
404990,신한서부티엔디리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
405000,플라즈맵,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
405100,큐알티,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,"그외 기타 전문, 과학 및 기술 서비스업"
